day,time,num_txns_in_queue,txn_amount_in_queue
1,08:00,0,0
1,08:15,0,0
1,08:30,0,0
1,08:45,0,0
1,09:00,0,0
1,09:15,0,0
1,09:30,0,0
1,09:45,0,0
1,10:00,0,0
1,10:15,0,0
1,10:30,0,0
1,10:45,0,0
1,11:00,0,0
1,11:15,0,0
1,11:30,0,0
1,11:45,0,0
1,12:00,0,0
1,12:15,0,0
1,12:30,0,0
1,12:45,0,0
1,13:00,0,0
1,13:15,0,0
1,13:30,0,0
1,13:45,0,0
1,14:00,0,0
1,14:15,0,0
1,14:30,0,0
1,14:45,0,0
1,15:00,0,0
1,15:15,0,0
1,15:30,0,0
1,15:45,0,0
1,16:00,0,0
1,16:15,0,0
1,16:30,0,0
1,16:45,0,0
